condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_cross.started,text_cross.stopped,text_pre_condition.started,text_pre_condition.stopped,text_pre_fix.started,text_pre_fix.stopped,text_condition.started,text_condition.stopped,text.started,text.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
feet,12,1,25,0,,,322.08827680000104,None,325.1050048999896,None,325.1050048999896,None,326.60501489999297,None,331.58855149999727,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,13,0,26,1,,,333.5886363000027,None,336.6054269000015,None,336.6054269000015,None,338.10554999999295,None,343.08902379999927,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,13,1,27,1,,,345.08910769999784,None,348.0892320999992,None,348.0892320999992,None,349.58939100000134,None,354.5894949999929,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,14,0,28,0,,,356.58963499999663,None,359.6064299999998,None,359.6064299999998,None,361.1064910999994,None,366.09002150000015,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,14,1,29,0,,,368.0900943000015,None,371.09028769998986,None,371.09028769998986,None,372.59033549999003,None,377.59043969999766,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,15,0,30,0,,,379.5905225999886,None,382.5907021999883,None,382.5907021999883,None,384.0907631000009,None,389.09095869999146,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,15,1,31,1,,,391.0910403000016,None,394.10787019999407,None,394.10787019999407,None,395.60785329999635,None,400.59138600000006,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,16,0,32,0,,,402.60813509998843,None,405.6083428999991,None,405.6083428999991,None,407.10831470000267,None,412.09191249999276,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,16,1,33,1,,,414.0919293999905,None,417.108765099998,None,417.108765099998,None,418.60889089999546,None,423.5924104000005,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,17,0,34,1,,,425.592430299992,None,428.5926139999938,None,428.5926139999938,None,430.0926204999996,None,435.0929094999883,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
